Title,Field,Receive_date,Abstract,Link
['Title:An Efficient EKF Based Algorithm For LSTM-Based Online Learning'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  We investigate online nonlinear regression with long short term memory (LSTM)based networks, which we refer to as LSTM-based online learning. For LSTM-basedonline learning, we introduce a highly efficient extended Kalman filter (EKF)based training algorithm with a theoretical convergence guarantee. Throughsimulations, we illustrate significant performance improvements achieved by ouralgorithm with respect to the conventional LSTM training methods. Weparticularly show that our algorithm provides very similar error performancewith the EKF learning algorithm in 25-40 times shorter training time dependingon the parameter size of the network.",https://arxiv.org/abs/1910.09857
['Title:Orthogonal variance decomposition based feature selection'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Existing feature selection methods fail to properly account for interactionsbetween features when evaluating feature subsets. In this paper, we attempt toremedy this issue by using orthogonal variance decomposition to evaluatefeatures. The orthogonality of the decomposition allows us to directlycalculate the total contribution of a feature to the output variance. Thus weobtain an efficient algorithm for feature evaluation which takes into accountinteractions among features. Numerical experiments demonstrate that our methodaccurately identifies relevant features and improves the accuracy of numericalmodels.",https://arxiv.org/abs/1910.09851
['Title:Towards best practice in explaining neural network decisions with LRP'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Within the last decade, neural network based predictors have demonstratedimpressive - and at times super-human - capabilities. This performance is oftenpaid for with an intransparent prediction process and thus has sparked numerouscontributions in the novel field of explainable artificial intelligence (XAI).In this paper, we focus on a popular and widely used method of XAI, theLayer-wise Relevance Propagation (LRP). Since its initial proposition LRP hasevolved as a method, and a best practice for applying the method has tacitlyemerged, based on humanly observed evidence. We investigate - and for the firsttime quantify - the effect of this current best practice on feedforward neuralnetworks in a visual object detection setting. The results verify that thecurrent, layer-dependent approach to LRP applied in recent literature betterrepresents the model's reasoning, and at the same time increases the objectlocalization and class discriminativity of LRP.",https://arxiv.org/abs/1910.09840
['Title:A Scalable Predictive Maintenance Model for Detecting Wind Turbine Component Failures Based on SCADA Data'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In this work, a novel predictive maintenance system is presented and appliedto the main components of wind turbines. The proposed model is based on machinelearning and statistical process control tools applied to SCADA (SupervisoryControl And Data Acquisition) data of critical components. The test campaignwas divided into two stages: a first two years long offline test, and a secondone year long real-time test. The offline test used historical faults from sixwind farms located in Italy and Romania, corresponding to a total of 150 windturbines and an overall installed nominal power of 283 MW. The resultsdemonstrate outstanding capabilities of anomaly prediction up to 2 monthsbefore device unscheduled downtime. Furthermore, the real-time 12-months testconfirms the ability of the proposed system to detect several anomalies,therefore allowing the operators to identify the root causes, and to schedulemaintenance actions before reaching a catastrophic stage.",https://arxiv.org/abs/1910.09808
['Title:Two-Step Sound Source Separation: Training on Learned Latent Targets'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In this paper, we propose a two-step training procedure for source separationvia a deep neural network. In the first step we learn a transform (and it'sinverse) to a latent space where masking-based separation performance usingoracles is optimal. For the second step, we train a separation module thatoperates on the previously learned space. In order to do so, we also make useof a scale-invariant signal to distortion ratio (SI-SDR) loss function thatworks in the latent space, and we prove that it lower-bounds the SI-SDR in thetime domain. We run various sound separation experiments that show how thisapproach can obtain better performance as compared to systems that learn thetransform and the separation module jointly. The proposed methodology isgeneral enough to be applicable to a large class of neural network end-to-endseparation systems.",https://arxiv.org/abs/1910.09804
['Title:Improving Siamese Networks for One Shot Learning using Kernel Based Activation functions'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  The lack of a large amount of training data has always been the constrainingfactor in solving a lot of problems in machine learning, making One ShotLearning one of the most intriguing ideas in machine learning. It aims to learninformation about object categories from one, or only a few training examples.This process of learning in deep learning is usually accomplished by properobjective function, i.e; loss function and embeddings extraction i.e;architecture. In this paper, we discussed about metrics based deep learningarchitectures for one shot learning such as Siamese neural networks and presenta method to improve on their accuracy using Kafnets (kernel-basednon-parametric activation functions for neural networks) by learning properembeddings with relatively less number of epochs. Using kernel activationfunctions, we are able to achieve strong results which exceed those of ReLUbased deep learning models in terms of embeddings structure, loss convergence,and accuracy.",https://arxiv.org/abs/1910.09798
['Title:Robust Training with Ensemble Consensus'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Since deep neural networks are over-parametrized, they may memorize noisyexamples. We address such memorizing issue under the existence of annotationnoise. From the fact that deep neural networks cannot generalize neighborhoodsof the features acquired via memorization, we find that noisy examples do notconsistently incur small losses on the network in the presence of perturbation.Based on this, we propose a novel training method called Learning with EnsembleConsensus (LEC) whose goal is to prevent overfitting noisy examples byeliminating them identified via consensus of an ensemble of perturbed networks.One of the proposed LECs, LTEC outperforms the current state-of-the-art methodson MNIST, CIFAR-10, and CIFAR-100 despite its efficient memory.",https://arxiv.org/abs/1910.09792
['Title:Bridging the Gap Between $f$-GANs and Wasserstein GANs'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Generative adversarial networks (GANs) have enjoyed much success in learninghigh-dimensional distributions. Learning objectives approximately minimize an$f$-divergence ($f$-GANs) or an integral probability metric (Wasserstein GANs)between the model and the data distribution using a discriminator. WassersteinGANs enjoy superior empirical performance, but in $f$-GANs the discriminatorcan be interpreted as a density ratio estimator which is necessary in some GANapplications. In this paper, we bridge the gap between $f$-GANs and WassersteinGANs (WGANs). First, we list two constraints over variational $f$-divergenceestimation objectives that preserves the optimal solution. Next, we minimizeover a Lagrangian relaxation of the constrained objective, and show that itgeneralizes critic objectives of both $f$-GAN and WGAN. Based on thisgeneralization, we propose a novel practical objective, named KL-WassersteinGAN (KL-WGAN). We demonstrate empirical success of KL-WGAN on syntheticdatasets and real-world image generation benchmarks, and achievestate-of-the-art FID scores on CIFAR10 image generation.",https://arxiv.org/abs/1910.09779
['Title:Self-supervised pre-training with acoustic configurations for replay spoofing detection'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Large datasets are well-known as a key to the recent advances in deeplearning. However, dataset construction, especially for replay spoofingdetection, requires the physical process of playing an utterance andre-recording it, which hinders the construction of large-scale datasets. Tocompensate for the limited availability of replay spoofing datasets, in thisstudy, we propose a method for pre-training acoustic configurations usingexternal data unrelated to replay attacks. Here, acoustic configurations referto variables present in the process of a voice being uttered by a speaker andrecorded through a microphone. Specifically, we select pairs of audio segmentsand train the network to determine whether the acoustic configurations of twosegments are identical. We conducted experiments using the ASVspoof 2019physical access dataset, and the results revealed that our proposed methodreduced the relative error rate by over 37% compared to the baseline.",https://arxiv.org/abs/1910.09778
['Title:Weakly Supervised Disentanglement with Guarantees'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Learning disentangled representations that correspond to factors of variationin real-world data is critical to interpretable and human-controllable machinelearning. Recently, concerns about the viability of learning disentangledrepresentations in a purely unsupervised manner has spurred a shift toward theincorporation of weak supervision. However, there is currently no formalismthat identifies when and how weak supervision will guarantee disentanglement.To address this issue, we provide a theoretical framework to assist inanalyzing the disentanglement guarantees (or lack thereof) conferred by weaksupervision when coupled with learning algorithms based on distributionmatching. We empirically verify the guarantees and limitations of several weaksupervision methods (restricted labeling, match-pairing, and rank-pairing),demonstrating the predictive power and usefulness of our theoretical framework.",https://arxiv.org/abs/1910.09772
['Title:Face representation by deep learning: a linear encoding in a parameter space?'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Recently, Convolutional Neural Networks (CNNs) have achieved tremendousperformances on face recognition, and one popular perspective regarding CNNs'success is that CNNs could learn discriminative face representations from faceimages with complex image feature encoding. However, it is still unclear whatis the intrinsic mechanism of face representation in CNNs. In this work, weinvestigate this problem by formulating face images as points in ashape-appearance parameter space, and our results demonstrate that: (i) Theencoding and decoding of the neuron responses (representations) to face imagesin CNNs could be achieved under a linear model in the parameter space, inagreement with the recent discovery in primate IT face neurons, but differentfrom the aforementioned perspective on CNNs' face representation with compleximage feature encoding; (ii) The linear model for face encoding and decoding inthe parameter space could achieve close or even better performances on facerecognition and verification than state-of-the-art CNNs, which might providenew lights on the design strategies for face recognition systems; (iii) Theneuron responses to face images in CNNs could not be adequately modelled by theaxis model, a model recently proposed on face modelling in primate IT cortex.All these results might shed some lights on the often complained blackboxnature behind CNNs' tremendous performances on face recognition.",https://arxiv.org/abs/1910.09768
['Title:Stochastic Feedforward Neural Networks: Universal Approximation'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In this chapter we take a look at the universal approximation question forstochastic feedforward neural networks. In contrast to deterministic networks,which represent mappings from a set of inputs to a set of outputs, stochasticnetworks represent mappings from a set of inputs to a set of probabilitydistributions over the set of outputs. In particular, even if the sets ofinputs and outputs are finite, the class of stochastic mappings in question isnot finite. Moreover, while for a deterministic function the values of alloutput variables can be computed independently of each other given the valuesof the inputs, in the stochastic setting the values of the output variables mayneed to be correlated, which requires that their values are computed jointly. Aprominent class of stochastic feedforward networks which has played a key rolein the resurgence of deep learning are deep belief networks. Therepresentational power of these networks has been studied mainly in thegenerative setting, as models of probability distributions without an input, orin the discriminative setting for the special case of deterministic mappings.We study the representational power of deep sigmoid belief networks in terms ofcompositions of linear transformations of probability distributions, Markovkernels, that can be expressed by the layers of the network. We investigatedifferent types of shallow and deep architectures, and the minimal number oflayers and units per layer that are sufficient and necessary in order for thenetwork to be able to approximate any given stochastic mapping from the set ofinputs to the set of outputs arbitrarily well.",https://arxiv.org/abs/1910.09763
['Title:Unsupervised Boosting-based Autoencoder Ensembles for Outlier Detection'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Autoencoders, as a dimensionality reduction technique, have been recentlyapplied to outlier detection. However, neural networks are known to bevulnerable to overfitting, and therefore have limited potential in theunsupervised outlier detection setting. Current approaches to ensemble-basedautoencoders do not generate a sufficient level of diversity to avoid theoverfitting issue. To overcome the aforementioned limitations we develop aBoosting-based Autoencoder Ensemble approach (in short, BAE). BAE is anunsupervised ensemble method that, similarly to the boosting approach, buildsan adaptive cascade of autoencoders to achieve improved and robust results. BAEtrains the autoencoder components sequentially by performing a weightedsampling of the data, aimed at reducing the amount of outliers used duringtraining, and at injecting diversity in the ensemble. We perform extensiveexperiments and show that the proposed methodology outperforms state-of-the-artapproaches under a variety of conditions.",https://arxiv.org/abs/1910.09754
['Title:Vanishing Nodes: Another Phenomenon That Makes Training Deep Neural Networks Difficult'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  It is well known that the problem of vanishing/exploding gradients is achallenge when training deep networks. In this paper, we describe anotherphenomenon, called vanishing nodes, that also increases the difficulty oftraining deep neural networks. As the depth of a neural network increases, thenetwork's hidden nodes have more highly correlated behavior. This results ingreat similarities between these nodes. The redundancy of hidden nodes thusincreases as the network becomes deeper. We call this problem vanishing nodes,and we propose the metric vanishing node indicator (VNI) for quantitativelymeasuring the degree of vanishing nodes. The VNI can be characterized by thenetwork parameters, which is shown analytically to be proportional to the depthof the network and inversely proportional to the network width. The theoreticalresults show that the effective number of nodes vanishes to one when the VNIincreases to one (its maximal value), and that vanishing/exploding gradientsand vanishing nodes are two different challenges that increase the difficultyof training deep neural networks. The numerical results from the experimentssuggest that the degree of vanishing nodes will become more evident duringback-propagation training, and that when the VNI is equal to 1, the networkcannot learn simple tasks (e.g. the XOR problem) even when the gradients areneither vanishing nor exploding. We refer to this kind of gradients as thewalking dead gradients, which cannot help the network converge when having arelatively large enough scale. Finally, the experiments show that thelikelihood of failed training increases as the depth of the network increases.The training will become much more difficult due to the lack of networkrepresentation capability.",https://arxiv.org/abs/1910.09745
['Title:Composite Neural Network: Theory and Application to PM2.5 Prediction'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  This work investigates the framework and performance issues of the compositeneural network, which is composed of a collection of pre-trained andnon-instantiated neural network models connected as a rooted directed acyclicgraph for solving complicated applications. A pre-trained neural network modelis generally well trained, targeted to approximate a specific function. Despitea general belief that a composite neural network may perform better than asingle component, the overall performance characteristics are not clear. Inthis work, we construct the framework of a composite network, and prove that acomposite neural network performs better than any of its pre-trained componentswith a high probability bound. In addition, if an extra pre-trained componentis added to a composite network, with high probability, the overall performancewill not be degraded. In the study, we explore a complicatedapplication---PM2.5 prediction---to illustrate the correctness of the proposedcomposite network theory. In the empirical evaluations of PM2.5 prediction, theconstructed composite neural network models support the proposed theory andperform better than other machine learning models, demonstrate the advantagesof the proposed framework.",https://arxiv.org/abs/1910.09739
['Title:Single Versus Union: Non-parallel Support Vector Machine Frameworks'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Considering the classification problem, we summarize the nonparallel supportvector machines with the nonparallel hyperplanes to two types of frameworks.The first type constructs the hyperplanes separately. It solves a series ofsmall optimization problems to obtain a series of hyperplanes, but is hard tomeasure the loss of each sample. The other type constructs all the hyperplanessimultaneously, and it solves one big optimization problem with the ascertainedloss of each sample. We give the characteristics of each framework and comparethem carefully. In addition, based on the second framework, we construct amax-min distance-based nonparallel support vector machine for multiclassclassification problem, called NSVM. It constructs hyperplanes with largedistance margin by solving an optimization problem. Experimental results onbenchmark data sets and human face databases show the advantages of our NSVM.",https://arxiv.org/abs/1910.09734
['Title:Explicitly Bayesian Regularizations in Deep Learning'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Generalization is essential for deep learning. In contrast to previous worksclaiming that Deep Neural Networks (DNNs) have an implicit regularizationimplemented by the stochastic gradient descent, we demonstrate explicitlyBayesian regularizations in a specific category of DNNs, i.e., ConvolutionalNeural Networks (CNNs). First, we introduce a novel probabilisticrepresentation for the hidden layers of CNNs and demonstrate that CNNscorrespond to Bayesian networks with the serial connection. Furthermore, weshow that the hidden layers close to the input formulate prior distributions,thus CNNs have explicitly Bayesian regularizations based on the Bayesianregularization theory. In addition, we clarify two recently observed empiricalphenomena that are inconsistent with traditional theories of generalization.Finally, we validate the proposed theory on a synthetic dataset",https://arxiv.org/abs/1910.09732
['Title:Multiple Sample Clustering'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  The clustering algorithms that view each object data as a single sample drawnfrom a certain distribution, Gaussian distribution, for example, have been ahot topic for decades. Many clustering algorithms: such ask-means and spectralclustering, are proposed based on the single sample assumption. However, inreal life, each input object can usually be the multiple samples drawn from acertain hidden distribution. The traditional clustering algorithms cannothandle such a situation. This calls for the multiple sample clusteringalgorithm. But the traditional multiple sample clustering algorithms can onlyhandle scalar samples or samples from Gaussian distribution. This constrainsthe application field of multiple sample clustering algorithms. In this paper,we purpose a general framework for multiple sample clustering. Variousalgorithms can be generated by this framework. We apply two specific cases ofthis framework: Wasserstein distance version and Bhattacharyyadistance versionon both synthetic data and stock price data. The simulation results show thatthe sufficient statistic can greatly improve the clustering accuracy andstability",https://arxiv.org/abs/1910.09731
['Title:Convolutional Prototype Learning for Zero-Shot Recognition'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Zero-shot learning (ZSL) has received increasing attention in recent yearsespecially in areas of fine-grained object recognition, retrieval, and imagecaptioning. The key to ZSL is to transfer knowledge from the seen to the unseenclasses via auxiliary class attribute vectors. However, the popularly learnedprojection functions in previous works cannot generalize well since they assumethe distribution consistency between seen and unseen domains atsample-level.Besides, the provided non-visual and unique class attributes cansignificantly degrade the recognition performance in semantic space. In thispaper, we propose a simple yet effective convolutional prototype learning (CPL)framework for zero-shot recognition. By assuming distribution consistency attask-level, our CPL is capable of transferring knowledge smoothly to recognizeunseen samples.Furthermore, inside each task, discriminative visual prototypesare learned via a distance based training mechanism. Consequently, we canperform recognition in visual space, instead of semantic space. An extensivegroup of experiments are then carefully designed and presented, demonstratingthat CPL obtains more favorable effectiveness, over currently availablealternatives under various settings.",https://arxiv.org/abs/1910.09728
['Title:Spatiotemporal Emotion Recognition using Deep CNN Based on EEG during Music Listening'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Emotion recognition based on EEG has become an active research area. As oneof the machine learning models, CNN has been utilized to solve diverse problemsincluding issues in this domain. In this work, a study of CNN and itsspatiotemporal feature extraction has been conducted in order to explorecapabilities of the model in varied window sizes and electrode orders. Ourinvestigation was conducted in subject-independent fashion. Results have shownthat temporal information in distinct window sizes significantly affectsrecognition performance in both 10-fold and leave-one-subject-out crossvalidation. Spatial information from varying electrode order has modicum effecton classification. SVM classifier depending on spatiotemporal knowledge on thesame dataset was previously employed and compared to these empirical results.Even though CNN and SVM have a homologous trend in window size effect, CNNoutperformed SVM using leave-one-subject-out cross validation. This could becaused by different extracted features in the elicitation process.",https://arxiv.org/abs/1910.09719
['Title:A deep active learning system for species identification and counting in camera trap images'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Biodiversity conservation depends on accurate, up-to-date information aboutwildlife population distributions. Motion-activated cameras, also known ascamera traps, are a critical tool for population surveys, as they are cheap andnon-intrusive. However, extracting useful information from camera trap imagesis a cumbersome process: a typical camera trap survey may produce millions ofimages that require slow, expensive manual review. Consequently, criticalinformation is often lost due to resource limitations, and criticalconservation questions may be answered too slowly to support decision-making.Computer vision is poised to dramatically increase efficiency in image-basedbiodiversity surveys, and recent studies have harnessed deep learningtechniques for automatic information extraction from camera trap images.However, the accuracy of results depends on the amount, quality, and diversityof the data available to train models, and the literature has focused onprojects with millions of relevant, labeled training images. Many camera trapprojects do not have a large set of labeled images and hence cannot benefitfrom existing machine learning techniques. Furthermore, even projects that dohave labeled data from similar ecosystems have struggled to adopt deep learningmethods because image classification models overfit to specific imagebackgrounds (i.e., camera locations). In this paper, we focus not on automatingthe labeling of camera trap images, but on accelerating this process. Wecombine the power of machine intelligence and human intelligence to build ascalable, fast, and accurate active learning system to minimize the manual workrequired to identify and count animals in camera trap images. Our proposedscheme can match the state of the art accuracy on a 3.2 million image datasetwith as few as 14,100 manual labels, which means decreasing manual labelingeffort by over 99.5%.",https://arxiv.org/abs/1910.09716
['Title:Smoothness-Adaptive Stochastic Bandits'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  We consider the problem of non-parametric multi-armed bandits with stochasticcovariates, where a key factor in determining the complexity of the problem andin the design of effective policies is the smoothness of payoff functions.Previous work treats this problem when the smoothness of payoff functions are apriori known. In practical settings, however, the smoothness that characterizesthe class of functions to which payoff functions belong is not known inadvance, and misspecification of this smoothness may cause the performance ofexisting methods to severely deteriorate. In this work, we address thechallenge of adapting to a priori unknown smoothness in the payoff functions.Our approach is based on the notion of \textit{self-similarity} that appears inthe literature on adaptive non-parametric confidence intervals. We develop aprocedure that infers a global smoothness parameter of the payoff functionsbased on collected observations, and establish that this procedure achievesrate-optimal performance up to logarithmic factors. We further extend thismethod in order to account for local complexity of the problem which depends onhow smooth payoff functions are in different regions of the covariate space. Weshow that under reasonable assumptions on the way this smoothness changes overthe covariate space, our method achieves significantly improved performancethat is characterized by the local complexity of the problem as opposed to itsglobal complexity.",https://arxiv.org/abs/1910.09714
